2026-06-18 00:15:05 | INFO     | SessionManager | New session started: 2026-06-18 00:15:05
2026-06-18 00:15:05 | INFO     | Evaluator | RAG Evaluator initialized
2026-06-18 00:15:05 | INFO     | Pipeline | 🚀 Initializing RAG Pipeline...
2026-06-18 00:15:05 | INFO     | Chunker | Chunker ready — size=1000, overlap=200
2026-06-18 00:15:05 | INFO     | Embeddings | Embedding model ready: nomic-embed-text
2026-06-18 00:15:05 | INFO     | VectorStore | ✅ VectorStore ready — collection: knowledge_base (0 chunks stored)
2026-06-18 00:15:05 | INFO     | LLM | LLM Client ready: llama3.2:3b
2026-06-18 00:15:05 | INFO     | Retriever | Retriever ready — top_k=5, min_similarity=0.3
2026-06-18 00:15:05 | INFO     | Pipeline | ✅ RAG Pipeline ready!
2026-06-18 00:15:07 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:15:09 | INFO     | Embeddings | ✅ nomic-embed-text is available
2026-06-18 00:15:09 | INFO     | SessionManager | Preference updated: streaming=True
2026-06-18 00:15:09 | INFO     | SessionManager | Preference updated: show_sources=True
2026-06-18 00:15:09 | INFO     | SessionManager | Preference updated: show_eval=True
2026-06-18 00:15:11 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:17:24 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:17:26 | INFO     | Embeddings | ✅ nomic-embed-text is available
2026-06-18 00:17:26 | INFO     | Pipeline | 📄 Indexing file: README.md
2026-06-18 00:17:26 | INFO     | Loader | Loading uploaded file: README.md
2026-06-18 00:17:26 | INFO     | Loader | Loading text file from bytes: README.md
2026-06-18 00:17:26 | INFO     | Chunker | Split 1 documents into 4 chunks
2026-06-18 00:17:26 | INFO     | Pipeline | Creating embeddings for 4 chunks...
2026-06-18 00:17:26 | INFO     | Embeddings | Embedding 4 texts in batches of 10...
2026-06-18 00:17:40 | INFO     | Embeddings | Embedded 4/4 texts
2026-06-18 00:17:40 | INFO     | Embeddings | Batch embedding complete: 4 vectors
2026-06-18 00:17:40 | INFO     | VectorStore | Stored 4/4 chunks
2026-06-18 00:17:40 | INFO     | VectorStore | ✅ Total stored: 4 chunks
2026-06-18 00:17:40 | INFO     | Pipeline | ✅ Indexed README.md: 4 chunks stored
2026-06-18 00:17:40 | INFO     | SessionManager | File tracked: README.md (4 chunks)
2026-06-18 00:17:40 | INFO     | SessionManager | Preference updated: streaming=True
2026-06-18 00:17:40 | INFO     | SessionManager | Preference updated: show_sources=True
2026-06-18 00:17:40 | INFO     | SessionManager | Preference updated: show_eval=True
2026-06-18 00:17:42 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:18:20 | INFO     | LLM | ✅ llama3.2:3b is available
2026-06-18 00:18:22 | INFO     | Embeddings | ✅ nomic-embed-text is available
2026-06-18 00:18:22 | INFO     | SessionManager | Preference updated: streaming=True
2026-06-18 00:18:22 | INFO     | SessionManager | Preference updated: show_sources=True
2026-06-18 00:18:22 | INFO     | SessionManager | Preference updated: show_eval=True
2026-06-18 00:18:22 | INFO     | Pipeline | ❓ Question: what are your views on my README...
2026-06-18 00:18:22 | INFO     | Retriever | Retrieving for: 'what are your views on my README...'
2026-06-18 00:18:25 | INFO     | VectorStore | Found 4 relevant chunks
2026-06-18 00:18:25 | INFO     | Retriever | Retrieved 4 relevant chunks (similarity >= 0.3)
2026-06-18 00:18:25 | INFO     | Retriever | Context prepared: 3445 chars from 4 chunks
2026-06-18 00:18:42 | INFO     | Retriever | Retrieving for: 'what are your views on my README...'
2026-06-18 00:18:44 | INFO     | VectorStore | Found 4 relevant chunks
